Date,Open,Close,Low,High,Volume,Volatility,Daily Return,Day_Type,DayOfWeek
2020-01-02 00:00:00,"78,2149","79,3067","78,1528","79,3067",6473800,"0,0148","0,0140",Bull,4
2020-01-03 00:00:00,"78,6942","78,8451","78,1972","79,0848",4874100,"0,0113","0,0019",Bull,5
2020-01-06 00:00:00,"78,2060","78,2238","77,6380","78,4723",5409800,"0,0107","0,0002",Bull,1
2020-01-07 00:00:00,"78,0729","77,9842","77,3362","78,1351",6514700,"0,0102","-0,0011",Bear,2
2020-01-08 00:00:00,"78,0552","78,8895","77,9131","79,3067",7296300,"0,0179","0,0107",Bull,3
2020-01-09 00:00:00,"80,1055","80,3540","79,9457","80,9132",9443500,"0,0121","0,0031",Bull,4
2020-01-10 00:00:00,"80,5937","80,0256","79,5552","80,6736",7097900,"0,0139","-0,0070",Bear,5
2020-01-13 00:00:00,"80,4339","80,8422","80,0700","81,4103",7382500,"0,0167","0,0051",Bull,1
2020-01-14 00:00:00,"80,9399","80,7623","80,6470","81,1618",5855200,"0,0064","-0,0022",Bear,2
2020-01-15 00:00:00,"80,7712","81,2505","80,7712","81,7121",6145300,"0,0116","0,0059",Bull,3
2020-01-16 00:00:00,"81,6499","82,1736","81,3304","82,2002",5180300,"0,0107","0,0064",Bull,4
2020-01-17 00:00:00,"82,4843","83,0967","82,3778","83,2121",6962800,"0,0101","0,0074",Bull,5
2020-01-21 00:00:00,"82,3955","82,1292","81,8275","83,0790",7094600,"0,0152","-0,0032",Bear,2
2020-01-22 00:00:00,"82,6707","82,1292","82,0760","83,2121",6157400,"0,0137","-0,0065",Bear,3
2020-01-23 00:00:00,"81,5878","83,2121","80,5404","83,3009",6100600,"0,0338","0,0199",Bull,4
2020-01-24 00:00:00,"83,4340","81,6854","81,0730","83,5494",7815500,"0,0297","-0,0210",Bear,5
2020-01-27 00:00:00,"78,6676","78,7564","77,7090","79,3954",11066500,"0,0214","0,0011",Bull,1
2020-01-28 00:00:00,"79,0404","78,6410","77,8599","79,1647",11922400,"0,0165","-0,0051",Bear,2
2020-01-29 00:00:00,"78,2416","76,9723","75,9782","78,4990",17678700,"0,0322","-0,0162",Bear,3
2020-01-30 00:00:00,"75,8451","76,1912","75,1705","76,8569",12224900,"0,0222","0,0046",Bull,4
